author,alias,title,date,ip,city,country,ups,downs,comments,url
Im22Yo,Beautiful Wanna One,[情報] Blind OST Part.2 - 鄭弘壹,2022-10-08 17:06:14,101.139.98.184,,Taiwan,2,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1665219978.A.A6B.html
yukihira,△_▲△,[情報] JOJO漫畫世界 OST Part1 - Chuu(本月少女,2022-10-08 17:04:45,49.158.101.59,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665219887.A.12B.html
johnny40615,豆?,[影音] 221008 MBC Show!音樂中心,2022-10-08 16:13:03,36.224.131.87,New Taipei,Taiwan,6,0,3,https://www.ptt.cc/bbs/KoreanPop/M.1665216787.A.8EA.html
bboy0223,,[影音] (G)I-DLE Stage Cam @ 大學慶典,2022-10-08 16:12:18,118.167.3.134,New Taipei,Taiwan,7,0,2,https://www.ptt.cc/bbs/KoreanPop/M.1665216741.A.D6D.html
Cchild,古戰逃兵,[LIVE] 221008 2022 THE FACT MUSIC AWARDS,2022-10-08 16:02:19,180.177.102.22,New Taipei,Taiwan,77,0,68,https://www.ptt.cc/bbs/KoreanPop/M.1665216143.A.44A.html
tycousin,500元,[影音] TREASURE - HELLO 接力舞蹈,2022-10-08 15:26:02,114.47.189.43,New Taipei,Taiwan,2,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665213964.A.394.html
lucy9422,chiaya,Fw: [情報] 五月五日 - Nightmare,2022-10-08 11:52:36,111.71.213.98,New Taipei,Taiwan,5,0,2,https://www.ptt.cc/bbs/KoreanPop/M.1665201157.A.F4D.html
johnny40615,豆?,[影音] 221007 ArirangTV Simply K-Pop,2022-10-07 23:17:12,36.224.131.87,New Taipei,Taiwan,2,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665155836.A.F0C.html
meimeibear,粉圓冰,"[影音] T1xRaiden,THE BOYZ Last Man StandingMV",2022-10-07 21:04:57,114.45.28.22,New Taipei,Taiwan,5,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665147899.A.C04.html
nccucat, ,[影音] mimiirose - 'Savage' cover,2022-10-07 19:41:41,1.165.45.92,Taichung,Taiwan,4,0,4,https://www.ptt.cc/bbs/KoreanPop/M.1665142903.A.4FA.html
wisholly,焰火星,[影音] 2022 昌原 K-Pop World Festival,2022-10-07 18:39:04,123.194.106.242,New Taipei,Taiwan,4,0,15,https://www.ptt.cc/bbs/KoreanPop/M.1665139146.A.D8C.html
newsun1997,NewSun,[影音] K-Culture Festival 2022 | THE-K CONCER,2022-10-07 18:36:43,150.117.150.12,New Taipei,Taiwan,5,0,2,https://www.ptt.cc/bbs/KoreanPop/M.1665139005.A.B5A.html
johnny40615,豆?,[影音] 221007 KBS Music Bank,2022-10-07 17:48:12,39.13.7.201,Hsinchu,Taiwan,26,0,4,https://www.ptt.cc/bbs/KoreanPop/M.1665136094.A.1AD.html
Im22Yo,Beautiful Wanna One,[影音] DK (SEVENTEEN) - When Will We Learn,2022-10-07 17:42:29,101.138.40.134,,Taiwan,2,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665135752.A.85D.html
tycousin,500元,[情報] 高斯電子公司 OST Part.2 - 金鐘萬,2022-10-07 17:03:52,114.47.191.189,New Taipei,Taiwan,2,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665133436.A.6C3.html
karma584,過去往往過不去,[問題] KPOP random dance,2022-10-07 14:45:48,42.77.43.65,Kaohsiung City,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665125150.A.6BB.html
lucy9422,chiaya,Fw: [情報] The Rose - HEAL,2022-10-07 12:07:39,111.71.213.98,New Taipei,Taiwan,21,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1665115660.A.87E.html
tetsu96,STAY with Stray Kids,[情報] Stray Kids - CASE 143,2022-10-07 12:06:22,27.53.65.214,,Taiwan,115,0,24,https://www.ptt.cc/bbs/KoreanPop/M.1665115584.A.AC3.html
johnny40615,豆?,[情報] 221009 SBS 人氣歌謠 節目單,2022-10-07 10:23:31,39.13.7.201,Hsinchu,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665109413.A.E72.html
angelak765,Wandering,[情報] [人生Reset再出道秀-巨星誕生] EP.2,2022-10-07 01:22:51,223.139.135.154,Kaohsiung City,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665076976.A.AD7.html
littledos, ,[影音] JURIA(XG) - Dear Name(IU) Cover,2022-10-07 00:45:33,223.137.67.132,New Taipei,Taiwan,2,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665074735.A.EB3.html
johnny40615,豆?,[情報] 221007 KBS Music Bank 節目單,2022-10-07 00:16:45,114.24.0.245,New Taipei,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665073008.A.933.html
pkkcyc,,[情報] CIRCLE專輯月榜 (2022年9月),2022-10-06 23:47:40,36.227.194.82,New Taipei,Taiwan,7,1,1,https://www.ptt.cc/bbs/KoreanPop/M.1665071262.A.D63.html
pkkcyc,,[情報] CIRCLE Global榜(2022.09.25~2022.10.01),2022-10-06 23:32:22,36.227.194.82,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665070344.A.3F9.html
nccucat, ,[影音] Mia - 波濤(Island),2022-10-06 23:30:34,1.165.45.92,Taichung,Taiwan,1,0,2,https://www.ptt.cc/bbs/KoreanPop/M.1665070236.A.967.html
pkkcyc,,[情報] CIRCLE專輯週榜 (2022.09.25~2022.10.01),2022-10-06 23:29:11,36.227.194.82,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665070153.A.948.html
pkkcyc,,[情報] CIRCLE數位週榜 (2022.09.25~2022.10.01),2022-10-06 23:18:00,36.227.194.82,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665069482.A.E43.html
alyh,矮栗,[情報] Dreamcatcher 迷你七輯 預告,2022-10-06 23:00:33,36.226.168.176,New Taipei,Taiwan,15,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665068436.A.CAE.html
nccucat, ,[影音] KQ Fellaz 2 - Lupin & Like This cover,2022-10-06 20:59:19,1.165.45.92,Taichung,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665061161.A.974.html
johnny40615,豆?,[影音] 221006 Mnet M Countdown,2022-10-06 20:04:10,112.78.76.245,,Taiwan,53,0,3,https://www.ptt.cc/bbs/KoreanPop/M.1665057852.A.34A.html
tycousin,500元,[情報] CocaNButter - Mi De Yah Feat.Koonta,2022-10-06 17:11:47,114.47.181.213,Kaohsiung City,Taiwan,2,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665047510.A.8AA.html
tycousin,500元,[情報] 真劍勝負 OST Part.1 - Twlv,2022-10-06 17:05:58,114.47.181.213,Kaohsiung City,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665047161.A.EE8.html
tycousin,500元,"[情報] GroovyRoom,GEMINI,Mirani - Rollin'",2022-10-06 17:01:57,114.47.181.213,Kaohsiung City,Taiwan,1,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1665046919.A.8E9.html
tycousin,500元,[情報] 秀智 - Cape,2022-10-06 17:01:21,114.47.181.213,Kaohsiung City,Taiwan,12,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665046883.A.358.html
angelak765,Wandering,[情報] DKZ - 老虎追來了(Uh-Heung),2022-10-06 16:57:45,223.139.135.154,Kaohsiung City,Taiwan,33,0,7,https://www.ptt.cc/bbs/KoreanPop/M.1665046669.A.C2A.html
johnny40615,豆?,[情報] 221008 MBC Show!音樂中心 節目單,2022-10-06 15:04:30,106.64.0.66,,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665039872.A.43B.html
lucy9422,chiaya,Fw: [情報] ANDOR - Happy at this time,2022-10-06 14:35:58,36.231.123.184,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665038159.A.F71.html
lucy9422,chiaya,Fw: [情報] GREAT SEOUL INVASION Final,2022-10-06 14:12:37,36.231.123.184,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665036758.A.E9A.html
tetsu96,STAY with Stray Kids,"[影音] Stray Kids - ""CASE 143"" M/V Teaser",2022-10-05 23:55:27,118.160.14.64,New Taipei,Taiwan,7,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664985332.A.4F8.html
johnny40615,豆?,[影音] KINGDOM - 白夜 (Long Live The King),2022-10-05 22:19:02,114.24.0.245,New Taipei,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664979547.A.1C8.html
johnny40615,豆?,[情報] 221005 MBC M Show Champion Song,2022-10-05 20:34:02,114.24.0.245,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664973244.A.489.html
Kovalchuk,  ,[情報] HYNN - 未完的故事,2022-10-05 20:04:54,111.252.233.37,Chang-hua,Taiwan,2,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1664971500.A.A3B.html
tycousin,500元,[情報] 金娜英 - I Can't,2022-10-05 17:18:33,114.47.191.116,New Taipei,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664961517.A.430.html
tycousin,500元,[情報] JAMIE - 3D Woman,2022-10-05 17:11:58,114.47.191.116,New Taipei,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664961122.A.4B6.html
tycousin,500元,[情報] 月水金火木土 OST Part.2 - Byeol Eun,2022-10-05 17:04:07,114.47.191.116,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664960650.A.5FF.html
wisholly,焰火星,[情報] Rocket Punch - Doki Doki LOVE,2022-10-05 14:35:34,123.194.106.242,New Taipei,Taiwan,5,0,2,https://www.ptt.cc/bbs/KoreanPop/M.1664951738.A.C32.html
johnny40615,豆?,[情報] 221006 Mnet M Countdown 節目單,2022-10-05 13:53:21,114.140.81.253,,Taiwan,3,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664949203.A.032.html
Im22Yo,Beautiful Wanna One,[影音] J.Y. Park - 'Groove Back' Intro,2022-10-05 10:54:04,101.138.203.182,,Taiwan,4,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1664938446.A.E58.html
monsterwai,,[情報] EXID 率智10/11發表新歌-相信愛情,2022-10-05 10:37:50,27.53.176.254,,Taiwan,17,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664937472.A.E7E.html
pkkcyc,,[情報] ALICE 單曲一輯[Dance On] 回歸預告,2022-10-05 00:23:12,36.227.218.33,Hualien City,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664900595.A.D0E.html
johnny40615,豆?,[影音] 221004 SBS M THE SHOW,2022-10-04 18:56:04,27.51.40.28,,Taiwan,9,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664880966.A.D5A.html
tycousin,500元,[影音] Dingo Killing Voice - EXID,2022-10-04 18:00:13,114.47.184.133,New Taipei,Taiwan,114,0,29,https://www.ptt.cc/bbs/KoreanPop/M.1664877615.A.2C8.html
tycousin,500元,[情報] AB6IX - Sugarcoat,2022-10-04 17:14:10,114.47.184.133,New Taipei,Taiwan,4,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1664874854.A.012.html
lucy9422,chiaya,Fw: [情報] ONEWE - 最終還是(Still Here),2022-10-04 17:12:37,36.231.121.143,New Taipei,Taiwan,9,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664874758.A.898.html
tycousin,500元,[情報] TREASURE - HELLO,2022-10-04 17:11:31,114.47.184.133,New Taipei,Taiwan,45,0,3,https://www.ptt.cc/bbs/KoreanPop/M.1664874695.A.E50.html
yihsuan1122,,[情報] Dynamicduo - 時間啊停下 (Ft. Leellamarz),2022-10-04 17:09:50,49.216.90.130,Tainan City,Taiwan,4,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664874594.A.78A.html
tycousin,500元,[影音] [加長型禮車服務] EP.31 鮮于貞娥,2022-10-04 17:00:32,114.47.184.133,New Taipei,Taiwan,2,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664874034.A.2E8.html
Kristoflower,愛睡覺學長,[情報] SEULGI 迷你1輯 '28 Reasons',2022-10-04 17:00:03,223.137.148.32,Xizhi District,Taiwan,143,0,24,https://www.ptt.cc/bbs/KoreanPop/M.1664874005.A.9B4.html
lucy9422,chiaya,Fw: [情報] LUCY - 21世紀的某天,2022-10-04 11:05:25,36.231.121.143,New Taipei,Taiwan,6,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664852726.A.4B2.html
angelak765,Wandering,[情報] DKZ單曲7輯CHASE EPISODE 3.BEUM預告集中,2022-10-03 23:00:50,42.77.68.192,Tainan City,Taiwan,15,0,6,https://www.ptt.cc/bbs/KoreanPop/M.1664809252.A.7F6.html
pkkcyc,,[情報] HANTEO週榜 (2022-09-26 ~ 2022-10-02),2022-10-03 22:49:17,36.227.218.33,Hualien City,Taiwan,3,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1664808559.A.51B.html
pkkcyc,,[情報] Melon 週榜 (2022.09.26 ~ 2022.10.02),2022-10-03 22:42:34,36.227.218.33,Hualien City,Taiwan,2,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1664808156.A.2F4.html
tetsu96,STAY with Stray Kids,[情報] Stray Kids 迷你七輯 MAXIDENT 預告集中,2022-10-03 22:37:59,1.171.59.217,New Taipei,Taiwan,11,0,3,https://www.ptt.cc/bbs/KoreanPop/M.1664807883.A.A1D.html
wisholly,焰火星,Fw: [影音] Rocket Punch 日本正規一輯10/5回歸 集中,2022-10-03 22:16:20,123.194.106.242,New Taipei,Taiwan,4,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1664806581.A.944.html
Im22Yo,Beautiful Wanna One,[情報] 依法相愛吧 OST Part.6 - Punch,2022-10-03 21:41:59,101.139.157.175,,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664804523.A.9AE.html
nccucat, ,"[影音] LIMELIGHT - ""Cha Cha"" Special Clip",2022-10-03 19:08:20,1.165.1.88,Chang-hua,Taiwan,2,0,2,https://www.ptt.cc/bbs/KoreanPop/M.1664795302.A.259.html
johnny40615,豆?,[情報] 221004 SBS M THE SHOW 節目單,2022-10-03 14:40:44,27.240.160.127,,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664779247.A.1D1.html
Kristoflower,愛睡覺學長,[情報] SEULGI 迷你1輯 '28 Reasons' 預告集中,2022-10-02 23:00:15,1.171.246.212,Hsinchu,Taiwan,28,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1664722818.A.F00.html
nccucat, ,[影音] KQ Fellaz 2 - Geek 練習室,2022-10-02 21:11:09,1.165.1.88,Chang-hua,Taiwan,1,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1664716271.A.98E.html
johnny40615,豆?,[影音] 221002 SBS 人氣歌謠,2022-10-02 19:41:54,114.24.0.245,New Taipei,Taiwan,3,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1664710916.A.9EC.html
Listening94,聽,[其他] 少女時代 - Forever 1 空專贈送,2022-10-02 18:10:59,61.228.5.234,New Taipei,Taiwan,40,0,38,https://www.ptt.cc/bbs/KoreanPop/M.1664705461.A.D9F.html
lanagrass,lanagrass,[影音] CL近期音樂節公演LIVE,2022-10-02 17:53:18,118.160.101.208,New Taipei,Taiwan,3,1,0,https://www.ptt.cc/bbs/KoreanPop/M.1664704400.A.4DB.html
pkkcyc,,[情報] YouTube MV點閱排行(2022 09.25~10.01),2022-10-02 17:37:44,36.227.218.33,Hualien City,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664703467.A.100.html
nccucat, ,"[影音] LIMELIGHT - ""Paradise"" Special Clip",2022-10-02 17:22:03,1.165.1.88,Chang-hua,Taiwan,5,0,2,https://www.ptt.cc/bbs/KoreanPop/M.1664702525.A.5BF.html
Im22Yo,Beautiful Wanna One,[情報] 小女子 OST Part.2 - SOLE,2022-10-02 17:12:29,101.138.171.17,,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664701953.A.099.html
HAAHA,dream,[影音] 221001 KCON IN SAUDI ARABIA DAY 2舞台,2022-10-02 11:33:08,111.252.66.245,Chang-hua,Taiwan,15,0,8,https://www.ptt.cc/bbs/KoreanPop/M.1664681590.A.4E6.html
HAAHA,dream,[影音] 220930 KCON IN SAUDI ARABIA DAY 1舞台,2022-10-02 09:31:56,111.252.66.245,Chang-hua,Taiwan,2,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664674318.A.3E7.html
bboy0223,,[影音] 220930 2022 Super Model Contest 舞台,2022-10-02 00:21:26,118.167.3.134,New Taipei,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664641297.A.E36.html
bboy0223,,[影音] NMIXX - 'DICE' (睡衣版 & 制服版),2022-10-01 22:37:34,118.167.3.134,New Taipei,Taiwan,4,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1664635057.A.1BF.html
tycousin,500元,[影音] 221001 JTBC K-909 E02,2022-10-01 21:29:41,114.47.195.236,Tainan City,Taiwan,12,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1664630983.A.048.html
lucy9422,chiaya,Fw: [情報] cott - OH MESS,2022-10-01 17:27:46,36.231.99.37,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664616467.A.67A.html
Im22Yo,Beautiful Wanna One,[情報] 高斯電子公司 OST Part.1 - LUCY,2022-10-01 17:09:59,101.138.243.18,,Taiwan,6,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664615403.A.BBE.html
johnny40615,豆?,[影音] 221001 MBC Show!音樂中心,2022-10-01 15:54:51,114.24.0.245,New Taipei,Taiwan,9,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1664610894.A.214.html
luu997,小呂,[影音] TREASURE - HELLO MV Teaser,2022-10-01 10:01:17,39.14.32.200,,Taiwan,15,0,3,https://www.ptt.cc/bbs/KoreanPop/M.1664589679.A.EBF.html
johnny40615,豆?,[影音] 220930 ArirangTV Simply K-Pop,2022-10-01 04:59:37,114.24.0.245,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664571580.A.7C2.html
