,author,alias,title,date,ip,city,country,ups,downs,comments,url,file,seg_text,seg_pos,tag
24,johnny40615,豆?,[影音] 221007 KBS Music Bank,2022-10-07 17:48:12,39.13.7.201,Hsinchu,Taiwan,26,0,4,https://www.ptt.cc/bbs/KoreanPop/M.1665136094.A.1AD.html,KoreanPop_2022_10,影音,Na,影音
25,Im22Yo,Beautiful Wanna One,[影音] DK (SEVENTEEN) - When Will We Learn,2022-10-07 17:42:29,101.138.40.134,,Taiwan,2,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665135752.A.85D.html,KoreanPop_2022_10,影音  DK   - When Will,Na Nb Nb,影音
26,tycousin,500元,[情報] 高斯電子公司 OST Part.2 - 金鐘萬,2022-10-07 17:03:52,114.47.191.189,New Taipei,Taiwan,2,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665133436.A.6C3.html,KoreanPop_2022_10,情報 高斯 電子 公司 金鐘 萬,Na Nb Na Nc Na Neu,情報
27,karma584,過去往往過不去,[問題] KPOP random dance,2022-10-07 14:45:48,42.77.43.65,Kaohsiung City,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665125150.A.6BB.html,KoreanPop_2022_10,問題,Na,問題
28,lucy9422,chiaya,Fw: [情報] The Rose - HEAL,2022-10-07 12:07:39,111.71.213.98,New Taipei,Taiwan,21,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1665115660.A.87E.html,KoreanPop_2022_10,情報,Na,情報
29,tetsu96,STAY with Stray Kids,[情報] Stray Kids - CASE 143,2022-10-07 12:06:22,27.53.65.214,,Taiwan,115,0,24,https://www.ptt.cc/bbs/KoreanPop/M.1665115584.A.AC3.html,KoreanPop_2022_10,情報,Na,情報
30,johnny40615,豆?,[情報] 221009 SBS 人氣歌謠 節目單,2022-10-07 10:23:31,39.13.7.201,Hsinchu,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665109413.A.E72.html,KoreanPop_2022_10,情報 人氣 歌謠 節目單,Na Na Na Na,情報
31,angelak765,Wandering,[情報] [人生Reset再出道秀-巨星誕生] EP.2,2022-10-07 01:22:51,223.139.135.154,Kaohsiung City,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665076976.A.AD7.html,KoreanPop_2022_10,情報 人生 出道秀 巨星 誕生,Na Na VA Na VA,情報
32,littledos, ,[影音] JURIA(XG) - Dear Name(IU) Cover,2022-10-07 00:45:33,223.137.67.132,New Taipei,Taiwan,2,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665074735.A.EB3.html,KoreanPop_2022_10,影音  - Dear Name,Na Nb,影音
33,johnny40615,豆?,[情報] 221007 KBS Music Bank 節目單,2022-10-07 00:16:45,114.24.0.245,New Taipei,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665073008.A.933.html,KoreanPop_2022_10,情報 節目單,Na Na,情報
34,pkkcyc,,[情報] CIRCLE專輯月榜 (2022年9月),2022-10-06 23:47:40,36.227.194.82,New Taipei,Taiwan,7,1,1,https://www.ptt.cc/bbs/KoreanPop/M.1665071262.A.D63.html,KoreanPop_2022_10,情報 專輯 月榜 2022年 9月,Na Na Na Neu Nd,情報
35,pkkcyc,,[情報] CIRCLE Global榜(2022.09.25~2022.10.01),2022-10-06 23:32:22,36.227.194.82,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665070344.A.3F9.html,KoreanPop_2022_10,情報 榜 2022.09.25 2022.10.01,Na Na Neu Neu,情報
36,nccucat, ,[影音] Mia - 波濤(Island),2022-10-06 23:30:34,1.165.45.92,Taichung,Taiwan,1,0,2,https://www.ptt.cc/bbs/KoreanPop/M.1665070236.A.967.html,KoreanPop_2022_10,影音 波濤,Na Na,影音
37,pkkcyc,,[情報] CIRCLE專輯週榜 (2022.09.25~2022.10.01),2022-10-06 23:29:11,36.227.194.82,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665070153.A.948.html,KoreanPop_2022_10,情報 專輯 週榜 2022.09.25 2022.10.01,Na Na Na Neu Neu,情報
38,pkkcyc,,[情報] CIRCLE數位週榜 (2022.09.25~2022.10.01),2022-10-06 23:18:00,36.227.194.82,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665069482.A.E43.html,KoreanPop_2022_10,情報 數位 週榜 2022.09.25 2022.10.01,Na A Na Neu Neu,情報
39,alyh,矮栗,[情報] Dreamcatcher 迷你七輯 預告,2022-10-06 23:00:33,36.226.168.176,New Taipei,Taiwan,15,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665068436.A.CAE.html,KoreanPop_2022_10,情報 迷你 七 輯 預告,Na VH Neu Nf VE,情報
40,nccucat, ,[影音] KQ Fellaz 2 - Lupin & Like This cover,2022-10-06 20:59:19,1.165.45.92,Taichung,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665061161.A.974.html,KoreanPop_2022_10,影音  KQ ,Na Nb,影音
41,johnny40615,豆?,[影音] 221006 Mnet M Countdown,2022-10-06 20:04:10,112.78.76.245,,Taiwan,53,0,3,https://www.ptt.cc/bbs/KoreanPop/M.1665057852.A.34A.html,KoreanPop_2022_10,影音,Na,影音
42,tycousin,500元,[情報] CocaNButter - Mi De Yah Feat.Koonta,2022-10-06 17:11:47,114.47.181.213,Kaohsiung City,Taiwan,2,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665047510.A.8AA.html,KoreanPop_2022_10,情報,Na,情報
43,tycousin,500元,[情報] 真劍勝負 OST Part.1 - Twlv,2022-10-06 17:05:58,114.47.181.213,Kaohsiung City,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665047161.A.EE8.html,KoreanPop_2022_10,情報 真 劍 勝負,Na VH Na Na,情報
44,tycousin,500元,"[情報] GroovyRoom,GEMINI,Mirani - Rollin'",2022-10-06 17:01:57,114.47.181.213,Kaohsiung City,Taiwan,1,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1665046919.A.8E9.html,KoreanPop_2022_10,情報,Na,情報
45,tycousin,500元,[情報] 秀智 - Cape,2022-10-06 17:01:21,114.47.181.213,Kaohsiung City,Taiwan,12,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665046883.A.358.html,KoreanPop_2022_10,情報  秀智,Na Nb,情報
46,angelak765,Wandering,[情報] DKZ - 老虎追來了(Uh-Heung),2022-10-06 16:57:45,223.139.135.154,Kaohsiung City,Taiwan,33,0,7,https://www.ptt.cc/bbs/KoreanPop/M.1665046669.A.C2A.html,KoreanPop_2022_10,情報 老虎 追來,Na Na VA,情報
47,johnny40615,豆?,[情報] 221008 MBC Show!音樂中心 節目單,2022-10-06 15:04:30,106.64.0.66,,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665039872.A.43B.html,KoreanPop_2022_10,情報 音樂 中心 節目 單,Na Na Nc Na Na,情報
48,lucy9422,chiaya,Fw: [情報] ANDOR - Happy at this time,2022-10-06 14:35:58,36.231.123.184,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665038159.A.F71.html,KoreanPop_2022_10,情報,Na,情報
49,lucy9422,chiaya,Fw: [情報] GREAT SEOUL INVASION Final,2022-10-06 14:12:37,36.231.123.184,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665036758.A.E9A.html,KoreanPop_2022_10,情報,Na,情報
50,tetsu96,STAY with Stray Kids,"[影音] Stray Kids - ""CASE 143"" M/V Teaser",2022-10-05 23:55:27,118.160.14.64,New Taipei,Taiwan,7,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664985332.A.4F8.html,KoreanPop_2022_10,影音,Na,影音
51,johnny40615,豆?,[影音] KINGDOM - 白夜 (Long Live The King),2022-10-05 22:19:02,114.24.0.245,New Taipei,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664979547.A.1C8.html,KoreanPop_2022_10,影音 白夜,Na Nd,影音
52,johnny40615,豆?,[情報] 221005 MBC M Show Champion Song,2022-10-05 20:34:02,114.24.0.245,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664973244.A.489.html,KoreanPop_2022_10,情報,Na,情報
53,Kovalchuk,  ,[情報] HYNN - 未完的故事,2022-10-05 20:04:54,111.252.233.37,Chang-hua,Taiwan,2,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1664971500.A.A3B.html,KoreanPop_2022_10,情報 完 故事,Na VH Na,情報
54,tycousin,500元,[情報] 金娜英 - I Can't,2022-10-05 17:18:33,114.47.191.116,New Taipei,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664961517.A.430.html,KoreanPop_2022_10,情報 金娜英,Na Nb,情報
55,tycousin,500元,[情報] JAMIE - 3D Woman,2022-10-05 17:11:58,114.47.191.116,New Taipei,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664961122.A.4B6.html,KoreanPop_2022_10,情報,Na,情報
56,tycousin,500元,[情報] 月水金火木土 OST Part.2 - Byeol Eun,2022-10-05 17:04:07,114.47.191.116,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664960650.A.5FF.html,KoreanPop_2022_10,情報  月 水 金 火 木 土,Na Nd Na Na Na Na Na,情報
57,wisholly,焰火星,[情報] Rocket Punch - Doki Doki LOVE,2022-10-05 14:35:34,123.194.106.242,New Taipei,Taiwan,5,0,2,https://www.ptt.cc/bbs/KoreanPop/M.1664951738.A.C32.html,KoreanPop_2022_10,情報,Na,情報
58,johnny40615,豆?,[情報] 221006 Mnet M Countdown 節目單,2022-10-05 13:53:21,114.140.81.253,,Taiwan,3,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664949203.A.032.html,KoreanPop_2022_10,情報 節目單,Na Na,情報
59,Im22Yo,Beautiful Wanna One,[影音] J.Y. Park - 'Groove Back' Intro,2022-10-05 10:54:04,101.138.203.182,,Taiwan,4,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1664938446.A.E58.html,KoreanPop_2022_10,影音  J.Y. Park,Na Nb,影音
60,monsterwai,,[情報] EXID 率智10/11發表新歌-相信愛情,2022-10-05 10:37:50,27.53.176.254,,Taiwan,17,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664937472.A.E7E.html,KoreanPop_2022_10,情報 率智 10/11 發表 新歌 相信 愛情,Na VF Neu VC Na VK Na,情報
61,pkkcyc,,[情報] ALICE 單曲一輯[Dance On] 回歸預告,2022-10-05 00:23:12,36.227.218.33,Hualien City,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664900595.A.D0E.html,KoreanPop_2022_10,情報 單曲 一 輯 回歸 預告,Na Na Neu Nf VCL VE,情報
62,johnny40615,豆?,[影音] 221004 SBS M THE SHOW,2022-10-04 18:56:04,27.51.40.28,,Taiwan,9,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664880966.A.D5A.html,KoreanPop_2022_10,影音,Na,影音
63,tycousin,500元,[影音] Dingo Killing Voice - EXID,2022-10-04 18:00:13,114.47.184.133,New Taipei,Taiwan,114,0,29,https://www.ptt.cc/bbs/KoreanPop/M.1664877615.A.2C8.html,KoreanPop_2022_10,影音,Na,影音
64,tycousin,500元,[情報] AB6IX - Sugarcoat,2022-10-04 17:14:10,114.47.184.133,New Taipei,Taiwan,4,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1664874854.A.012.html,KoreanPop_2022_10,情報  AB6IX - Sugarcoat,Na Nb,情報
65,lucy9422,chiaya,Fw: [情報] ONEWE - 最終還是(Still Here),2022-10-04 17:12:37,36.231.121.143,New Taipei,Taiwan,9,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664874758.A.898.html,KoreanPop_2022_10,情報,Na,情報
66,tycousin,500元,[情報] TREASURE - HELLO,2022-10-04 17:11:31,114.47.184.133,New Taipei,Taiwan,45,0,3,https://www.ptt.cc/bbs/KoreanPop/M.1664874695.A.E50.html,KoreanPop_2022_10,情報,Na,情報
67,yihsuan1122,,[情報] Dynamicduo - 時間啊停下 (Ft. Leellamarz),2022-10-04 17:09:50,49.216.90.130,Tainan City,Taiwan,4,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664874594.A.78A.html,KoreanPop_2022_10,情報 時間 停下,Na Na VC,情報
68,tycousin,500元,[影音] [加長型禮車服務] EP.31 鮮于貞娥,2022-10-04 17:00:32,114.47.184.133,New Taipei,Taiwan,2,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664874034.A.2E8.html,KoreanPop_2022_10,影音 加長型 禮車 服務 鮮 于貞娥,Na Na Na VC Nb Nb,影音
69,Kristoflower,愛睡覺學長,[情報] SEULGI 迷你1輯 '28 Reasons',2022-10-04 17:00:03,223.137.148.32,Xizhi District,Taiwan,143,0,24,https://www.ptt.cc/bbs/KoreanPop/M.1664874005.A.9B4.html,KoreanPop_2022_10,情報 迷你 1 輯,Na VH Neu Nf,情報
70,lucy9422,chiaya,Fw: [情報] LUCY - 21世紀的某天,2022-10-04 11:05:25,36.231.121.143,New Taipei,Taiwan,6,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664852726.A.4B2.html,KoreanPop_2022_10,情報 某 天,Na Nes Nf,情報
71,angelak765,Wandering,[情報] DKZ單曲7輯CHASE EPISODE 3.BEUM預告集中,2022-10-03 23:00:50,42.77.68.192,Tainan City,Taiwan,15,0,6,https://www.ptt.cc/bbs/KoreanPop/M.1664809252.A.7F6.html,KoreanPop_2022_10,情報 單曲 7 輯 3 預告集 中,Na Na Neu Nf Neu VE Ng,情報
72,pkkcyc,,[情報] HANTEO週榜 (2022-09-26 ~ 2022-10-02),2022-10-03 22:49:17,36.227.218.33,Hualien City,Taiwan,3,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1664808559.A.51B.html,KoreanPop_2022_10,情報 週榜 2022-09,Na Na Neu,情報
73,pkkcyc,,[情報] Melon 週榜 (2022.09.26 ~ 2022.10.02),2022-10-03 22:42:34,36.227.218.33,Hualien City,Taiwan,2,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1664808156.A.2F4.html,KoreanPop_2022_10,情報 週榜 2022.09.26,Na Na Neu,情報
74,tetsu96,STAY with Stray Kids,[情報] Stray Kids 迷你七輯 MAXIDENT 預告集中,2022-10-03 22:37:59,1.171.59.217,New Taipei,Taiwan,11,0,3,https://www.ptt.cc/bbs/KoreanPop/M.1664807883.A.A1D.html,KoreanPop_2022_10,情報 迷你 七 輯 預告集 中,Na VH Neu Nf VE Ng,情報
75,wisholly,焰火星,Fw: [影音] Rocket Punch 日本正規一輯10/5回歸 集中,2022-10-03 22:16:20,123.194.106.242,New Taipei,Taiwan,4,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1664806581.A.944.html,KoreanPop_2022_10,影音 日本 正規 一 輯 10/5 回歸 集中,Na Nc A Neu Nf Neu VCL VC,影音
76,Im22Yo,Beautiful Wanna One,[情報] 依法相愛吧 OST Part.6 - Punch,2022-10-03 21:41:59,101.139.157.175,,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664804523.A.9AE.html,KoreanPop_2022_10,情報 相愛,Na VH,情報
77,nccucat, ,"[影音] LIMELIGHT - ""Cha Cha"" Special Clip",2022-10-03 19:08:20,1.165.1.88,Chang-hua,Taiwan,2,0,2,https://www.ptt.cc/bbs/KoreanPop/M.1664795302.A.259.html,KoreanPop_2022_10,影音,Na,影音
78,johnny40615,豆?,[情報] 221004 SBS M THE SHOW 節目單,2022-10-03 14:40:44,27.240.160.127,,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664779247.A.1D1.html,KoreanPop_2022_10,情報 節目單,Na Na,情報
79,Kristoflower,愛睡覺學長,[情報] SEULGI 迷你1輯 '28 Reasons' 預告集中,2022-10-02 23:00:15,1.171.246.212,Hsinchu,Taiwan,28,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1664722818.A.F00.html,KoreanPop_2022_10,情報 迷你 1 輯 預告集中,Na VH Neu Nf VE,情報
80,nccucat, ,[影音] KQ Fellaz 2 - Geek 練習室,2022-10-02 21:11:09,1.165.1.88,Chang-hua,Taiwan,1,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1664716271.A.98E.html,KoreanPop_2022_10,影音 練習室,Na Nc,影音
81,johnny40615,豆?,[影音] 221002 SBS 人氣歌謠,2022-10-02 19:41:54,114.24.0.245,New Taipei,Taiwan,3,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1664710916.A.9EC.html,KoreanPop_2022_10,影音 人氣 歌謠,Na Na Na,影音
82,Listening94,聽,[其他] 少女時代 - Forever 1 空專贈送,2022-10-02 18:10:59,61.228.5.234,New Taipei,Taiwan,40,0,38,https://www.ptt.cc/bbs/KoreanPop/M.1664705461.A.D9F.html,KoreanPop_2022_10,其他 少女 時代  -  空專 贈送,Neqa Na Na Nb Nc VD,其他
83,lanagrass,lanagrass,[影音] CL近期音樂節公演LIVE,2022-10-02 17:53:18,118.160.101.208,New Taipei,Taiwan,3,1,0,https://www.ptt.cc/bbs/KoreanPop/M.1664704400.A.4DB.html,KoreanPop_2022_10,影音 近期 音樂節 公演,Na Nd Nd VA,影音
84,pkkcyc,,[情報] YouTube MV點閱排行(2022 09.25~10.01),2022-10-02 17:37:44,36.227.218.33,Hualien City,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664703467.A.100.html,KoreanPop_2022_10,情報 點閱 排行 2022 09.25 10.01,Na VC VG Neu Neu,情報
85,nccucat, ,"[影音] LIMELIGHT - ""Paradise"" Special Clip",2022-10-02 17:22:03,1.165.1.88,Chang-hua,Taiwan,5,0,2,https://www.ptt.cc/bbs/KoreanPop/M.1664702525.A.5BF.html,KoreanPop_2022_10,影音,Na,影音
86,Im22Yo,Beautiful Wanna One,[情報] 小女子 OST Part.2 - SOLE,2022-10-02 17:12:29,101.138.171.17,,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664701953.A.099.html,KoreanPop_2022_10,情報 小女子,Na Na,情報
87,HAAHA,dream,[影音] 221001 KCON IN SAUDI ARABIA DAY 2舞台,2022-10-02 11:33:08,111.252.66.245,Chang-hua,Taiwan,15,0,8,https://www.ptt.cc/bbs/KoreanPop/M.1664681590.A.4E6.html,KoreanPop_2022_10,影音 舞台,Na Na,影音
88,HAAHA,dream,[影音] 220930 KCON IN SAUDI ARABIA DAY 1舞台,2022-10-02 09:31:56,111.252.66.245,Chang-hua,Taiwan,2,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664674318.A.3E7.html,KoreanPop_2022_10,影音 舞台,Na Na,影音
89,bboy0223,,[影音] 220930 2022 Super Model Contest 舞台,2022-10-02 00:21:26,118.167.3.134,New Taipei,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664641297.A.E36.html,KoreanPop_2022_10,影音 舞台,Na Na,影音
90,bboy0223,,[影音] NMIXX - 'DICE' (睡衣版 & 制服版),2022-10-01 22:37:34,118.167.3.134,New Taipei,Taiwan,4,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1664635057.A.1BF.html,KoreanPop_2022_10,影音 睡衣版 制服版,Na Na Na,影音
91,tycousin,500元,[影音] 221001 JTBC K-909 E02,2022-10-01 21:29:41,114.47.195.236,Tainan City,Taiwan,12,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1664630983.A.048.html,KoreanPop_2022_10,影音,Na,影音
92,lucy9422,chiaya,Fw: [情報] cott - OH MESS,2022-10-01 17:27:46,36.231.99.37,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664616467.A.67A.html,KoreanPop_2022_10,情報,Na,情報
93,Im22Yo,Beautiful Wanna One,[情報] 高斯電子公司 OST Part.1 - LUCY,2022-10-01 17:09:59,101.138.243.18,,Taiwan,6,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664615403.A.BBE.html,KoreanPop_2022_10,情報 高斯 電子 公司,Na Nb Na Nc,情報
94,johnny40615,豆?,[影音] 221001 MBC Show!音樂中心,2022-10-01 15:54:51,114.24.0.245,New Taipei,Taiwan,9,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1664610894.A.214.html,KoreanPop_2022_10,影音 音樂 中心,Na Na Nc,影音
95,luu997,小呂,[影音] TREASURE - HELLO MV Teaser,2022-10-01 10:01:17,39.14.32.200,,Taiwan,15,0,3,https://www.ptt.cc/bbs/KoreanPop/M.1664589679.A.EBF.html,KoreanPop_2022_10,影音,Na,影音
96,johnny40615,豆?,[影音] 220930 ArirangTV Simply K-Pop,2022-10-01 04:59:37,114.24.0.245,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664571580.A.7C2.html,KoreanPop_2022_10,影音,Na,影音
